code,hs2,imports,commodity,exports,total
ON,87,96011442172,Vehicles,0,96011442172
ON,84,66389605953,Machinery & mechanical appliances,0,66389605953
ON,85,47885730253,Electrical equipment,0,47885730253
ON,71,41544198968,Precious metals & stones,0,41544198968
ON,30,19606310282,Pharmaceuticals,0,19606310282
QC,84,19034121488,Machinery & mechanical appliances,0,19034121488
ON,39,16737910760,Plastics,0,16737910760
ON,90,14778074750,Optical & medical instruments,0,14778074750
BC,84,13138174318,Machinery & mechanical appliances,0,13138174318
ON,99,12785009053,Confidential / low-value (CA),0,12785009053
NB,27,12535674919,Mineral fuels & oils,0,12535674919
QC,27,10763582775,Mineral fuels & oils,0,10763582775
ON,27,10576358592,Mineral fuels & oils,0,10576358592
QC,85,9872757563,Electrical equipment,0,9872757563
MB,84,8047473369,Machinery & mechanical appliances,0,8047473369
BC,87,7949480109,Vehicles,0,7949480109
ON,73,7533614004,Articles of iron & steel,0,7533614004
BC,85,6904186524,Electrical equipment,0,6904186524
ON,94,6834972862,Furniture,0,6834972862
ON,29,6763914514,Organic chemicals,0,6763914514
AB,84,6615920001,Machinery & mechanical appliances,0,6615920001
ON,72,6236517752,Iron & steel,0,6236517752
QC,30,6172063663,Pharmaceuticals,0,6172063663
NS,87,5822642993,Vehicles,0,5822642993
ON,48,5653140155,Paper & paperboard,0,5653140155
SK,84,5388344594,Machinery & mechanical appliances,0,5388344594
ON,33,5360812908,Cosmetics & perfumes,0,5360812908
QC,88,5335940538,Aircraft & spacecraft,0,5335940538
ON,38,4826348736,Misc chemical products,0,4826348736
ON,08,4685865104,Fruit & nuts,0,4685865104
ON,40,4621402536,Rubber,0,4621402536
AB,27,4596093051,Mineral fuels & oils,0,4596093051
QC,87,4525295347,Vehicles,0,4525295347
ON,95,4509868993,Toys & sports equipment,0,4509868993
ON,88,4421156442,Aircraft & spacecraft,0,4421156442
ON,61,4408206706,Knitted apparel,0,4408206706
ON,76,4310738930,Aluminium,0,4310738930
ON,21,4251540076,Misc food preparations,0,4251540076
ON,19,4233027769,Prepared cereals,0,4233027769
MB,27,4079128758,Mineral fuels & oils,0,4079128758
ON,22,3745194042,Beverages & spirits,0,3745194042
QC,74,3609098028,Copper,0,3609098028
ON,34,3520655035,Soap & cleaning products,0,3520655035
ON,62,3507425412,Woven apparel,0,3507425412
ON,02,3499895641,Meat & offal,0,3499895641
MB,87,3457182284,Vehicles,0,3457182284
QC,28,3406734743,Inorganic chemicals,0,3406734743
QC,90,3238150650,Optical & medical instruments,0,3238150650
BC,27,3215565176,Mineral fuels & oils,0,3215565176
AB,85,3168709342,Electrical equipment,0,3168709342
ON,74,3117950542,Copper,0,3117950542
ON,18,3044404244,Cocoa & cocoa products,0,3044404244
QC,39,2973869530,Plastics,0,2973869530
ON,07,2953389716,Vegetables,0,2953389716
QC,71,2825632079,Precious metals & stones,0,2825632079
ON,32,2718141120,Tanning & dye extracts,0,2718141120
ON,83,2702259518,Miscellaneous metal articles,0,2702259518
SK,87,2595265297,Vehicles,0,2595265297
BC,39,2552973272,Plastics,0,2552973272
SK,27,2492842404,Mineral fuels & oils,0,2492842404
MB,85,2383753337,Electrical equipment,0,2383753337
ON,20,2350927599,Prepared vegetables,0,2350927599
BC,73,2347056810,Articles of iron & steel,0,2347056810
ON,70,2317816810,Glass,0,2317816810
ON,26,2317379998,"Ores, slag & ash",0,2317379998
QC,40,2281766461,Rubber,0,2281766461
BC,61,2273413647,Knitted apparel,0,2273413647
NL,84,2273402822,Machinery & mechanical appliances,0,2273402822
BC,94,2244355500,Furniture,0,2244355500
ON,28,2206435247,Inorganic chemicals,0,2206435247
ON,64,2195905580,Footwear,0,2195905580
QC,94,2174624759,Furniture,0,2174624759
BC,90,2134757149,Optical & medical instruments,0,2134757149
BC,08,2133000676,Fruit & nuts,0,2133000676
ON,82,2103592722,Tools & cutlery,0,2103592722
ON,09,2095050393,"Coffee, tea & spices",0,2095050393
ON,23,2074904940,Food industry residues,0,2074904940
QC,18,2074173445,Cocoa & cocoa products,0,2074173445
QC,22,2016780253,Beverages & spirits,0,2016780253
QC,73,1966831061,Articles of iron & steel,0,1966831061
ON,49,1904074289,Printed books & media,0,1904074289
QC,26,1799388284,"Ores, slag & ash",0,1799388284
ON,96,1785956207,Miscellaneous manufactures,0,1785956207
ON,44,1720291890,Wood & wood articles,0,1720291890
AB,87,1702329247,Vehicles,0,1702329247
AB,39,1667425869,Plastics,0,1667425869
QC,99,1663489072,Confidential / low-value (CA),0,1663489072
QC,61,1645242262,Knitted apparel,0,1645242262
BC,62,1637535275,Woven apparel,0,1637535275
BC,95,1626920694,Toys & sports equipment,0,1626920694
QC,76,1568011580,Aluminium,0,1568011580
ON,42,1562684844,Leather goods,0,1562684844
AB,73,1558743423,Articles of iron & steel,0,1558743423
QC,72,1507463884,Iron & steel,0,1507463884
BC,26,1482821827,"Ores, slag & ash",0,1482821827
QC,09,1455023814,"Coffee, tea & spices",0,1455023814
MB,39,1421700905,Plastics,0,1421700905
AB,90,1421227372,Optical & medical instruments,0,1421227372
AB,22,1418700038,Beverages & spirits,0,1418700038
NL,15,1413063433,Animal/veg fats & oils,0,1413063433
BC,88,1402288950,Aircraft & spacecraft,0,1402288950
NS,84,1400412007,Machinery & mechanical appliances,0,1400412007
ON,16,1377284152,Prepared meat & fish,0,1377284152
QC,48,1375054061,Paper & paperboard,0,1375054061
MB,38,1361336741,Misc chemical products,0,1361336741
ON,35,1360874444,Protein substances,0,1360874444
ON,68,1359754542,Stone & cement articles,0,1359754542
BC,72,1356206223,Iron & steel,0,1356206223
ON,17,1311736203,Sugars,0,1311736203
QC,62,1282204827,Woven apparel,0,1282204827
BC,48,1260192007,Paper & paperboard,0,1260192007
ON,03,1238876942,Fish & seafood,0,1238876942
MB,31,1235634234,Fertilizers,0,1235634234
QC,08,1151130795,Fruit & nuts,0,1151130795
BC,76,1140347110,Aluminium,0,1140347110
BC,44,1126625547,Wood & wood articles,0,1126625547
ON,15,1125541623,Animal/veg fats & oils,0,1125541623
NL,27,1104101942,Mineral fuels & oils,0,1104101942
ON,63,1090255108,Other made-up textiles,0,1090255108
BC,07,1081502436,Vegetables,0,1081502436
QC,29,1066833250,Organic chemicals,0,1066833250
BC,28,1061241005,Inorganic chemicals,0,1061241005
SK,85,1014496028,Electrical equipment,0,1014496028
ON,12,1009681222,Oil seeds,0,1009681222
BC,03,1004295380,Fish & seafood,0,1004295380
NS,27,979982096,Mineral fuels & oils,0,979982096
ON,04,962233387,Dairy products,0,962233387
ON,31,952427408,Fertilizers,0,952427408
AB,01,946995725,Live animals,0,946995725
MB,73,931498502,Articles of iron & steel,0,931498502
ON,86,929178375,Railway equipment,0,929178375
BC,22,924307346,Beverages & spirits,0,924307346
ON,69,913703059,Ceramic products,0,913703059
QC,33,898769566,Cosmetics & perfumes,0,898769566
ON,91,888087245,Clocks & watches,0,888087245
SK,38,877702654,Misc chemical products,0,877702654
BC,40,865201418,Rubber,0,865201418
QC,38,851348187,Misc chemical products,0,851348187
AB,94,844427381,Furniture,0,844427381
BC,64,836205762,Footwear,0,836205762
AB,88,828912262,Aircraft & spacecraft,0,828912262
QC,44,821258775,Wood & wood articles,0,821258775
BC,19,816980617,Prepared cereals,0,816980617
AB,08,796642325,Fruit & nuts,0,796642325
MB,90,781407307,Optical & medical instruments,0,781407307
AB,40,778913078,Rubber,0,778913078
NB,84,774407691,Machinery & mechanical appliances,0,774407691
BC,09,759580089,"Coffee, tea & spices",0,759580089
BC,20,756315375,Prepared vegetables,0,756315375
AB,29,745324425,Organic chemicals,0,745324425
QC,20,744146382,Prepared vegetables,0,744146382
ON,10,721142724,Cereals,0,721142724
QC,02,702855255,Meat & offal,0,702855255
QC,17,685268080,Sugars,0,685268080
AB,38,684132735,Misc chemical products,0,684132735
ON,24,679883294,Tobacco,0,679883294
BC,21,674324448,Misc food preparations,0,674324448
QC,95,668508268,Toys & sports equipment,0,668508268
ON,56,662075215,Wadding & felt,0,662075215
QC,31,659693790,Fertilizers,0,659693790
QC,83,656587441,Miscellaneous metal articles,0,656587441
SK,31,645939613,Fertilizers,0,645939613
BC,38,645749898,Misc chemical products,0,645749898
ON,81,620927986,Other base metals,0,620927986
QC,03,606380333,Fish & seafood,0,606380333
QC,64,598102462,Footwear,0,598102462
SK,39,593816888,Plastics,0,593816888
MB,48,585210655,Paper & paperboard,0,585210655
AB,07,577183136,Vegetables,0,577183136
QC,19,559200937,Prepared cereals,0,559200937
ON,25,549320930,"Salt, sulphur, stone, cement",0,549320930
MB,86,538894660,Railway equipment,0,538894660
MB,29,534586728,Organic chemicals,0,534586728
SK,73,521786398,Articles of iron & steel,0,521786398
ON,89,519396387,Ships & boats,0,519396387
NS,85,508600830,Electrical equipment,0,508600830
ON,57,508283070,Carpets,0,508283070
BC,42,497252350,Leather goods,0,497252350
QC,75,489886384,Nickel,0,489886384
QC,04,486999942,Dairy products,0,486999942
BC,68,478368472,Stone & cement articles,0,478368472
BC,63,477339615,Other made-up textiles,0,477339615
AB,31,476574918,Fertilizers,0,476574918
MB,94,476296452,Furniture,0,476296452
BC,02,475638834,Meat & offal,0,475638834
BC,99,474203155,Confidential / low-value (CA),0,474203155
BC,16,470822197,Prepared meat & fish,0,470822197
QC,42,468810439,Leather goods,0,468810439
QC,70,468095492,Glass,0,468095492
ON,59,466364248,Coated textiles,0,466364248
BC,71,465064835,Precious metals & stones,0,465064835
NB,03,464823990,Fish & seafood,0,464823990
QC,15,460097515,Animal/veg fats & oils,0,460097515
BC,70,450014598,Glass,0,450014598
BC,96,442248425,Miscellaneous manufactures,0,442248425
NB,87,440519726,Vehicles,0,440519726
ON,06,434073600,Live trees & plants,0,434073600
BC,89,417022396,Ships & boats,0,417022396
AB,95,408676509,Toys & sports equipment,0,408676509
NS,99,406560943,Confidential / low-value (CA),0,406560943
BC,83,397204930,Miscellaneous metal articles,0,397204930
ON,11,396524965,Milling products,0,396524965
BC,29,394282204,Organic chemicals,0,394282204
MB,40,390268385,Rubber,0,390268385
AB,71,384727247,Precious metals & stones,0,384727247
QC,63,380551738,Other made-up textiles,0,380551738
ON,75,373305004,Nickel,0,373305004
ON,01,372889858,Live animals,0,372889858
QC,21,370228097,Misc food preparations,0,370228097
BC,82,369760577,Tools & cutlery,0,369760577
ON,93,364224410,Arms & ammunition,0,364224410
QC,86,361457510,Railway equipment,0,361457510
ON,65,357537227,Headgear,0,357537227
QC,68,341283379,Stone & cement articles,0,341283379
QC,82,341189283,Tools & cutlery,0,341189283
QC,32,330068895,Tanning & dye extracts,0,330068895
AB,23,326099688,Food industry residues,0,326099688
BC,33,324340935,Cosmetics & perfumes,0,324340935
QC,69,322292925,Ceramic products,0,322292925
QC,81,318484469,Other base metals,0,318484469
SK,40,318149714,Rubber,0,318149714
MB,34,317416793,Soap & cleaning products,0,317416793
AB,34,315525153,Soap & cleaning products,0,315525153
NS,88,312293522,Aircraft & spacecraft,0,312293522
BC,10,311975908,Cereals,0,311975908
AB,99,310280393,Confidential / low-value (CA),0,310280393
MB,23,309653239,Food industry residues,0,309653239
QC,07,308937337,Vegetables,0,308937337
ON,98,308898534,Special transactions (CA),0,308898534
NS,03,308388109,Fish & seafood,0,308388109
ON,47,303740554,Wood pulp,0,303740554
BC,15,295553345,Animal/veg fats & oils,0,295553345
NS,73,292636674,Articles of iron & steel,0,292636674
AB,48,285569404,Paper & paperboard,0,285569404
AB,86,280830349,Railway equipment,0,280830349
BC,32,280539752,Tanning & dye extracts,0,280539752
AB,68,274629546,Stone & cement articles,0,274629546
BC,23,269537648,Food industry residues,0,269537648
AB,76,265465255,Aluminium,0,265465255
QC,47,265463726,Wood pulp,0,265463726
BC,69,263466378,Ceramic products,0,263466378
QC,49,263268800,Printed books & media,0,263268800
QC,34,262989345,Soap & cleaning products,0,262989345
BC,12,262537157,Oil seeds,0,262537157
NS,40,259297895,Rubber,0,259297895
BC,34,257003270,Soap & cleaning products,0,257003270
